ou_uid,dsnu,ou,snu1
gGqaAXuUGpb,Bobirwa District,Botswana,Central District
iY69BUSqcnC,Mahalapye District,Botswana,Central District
YmeyoDakwFX,Serowe District,Botswana,Central District
yNcvm7JYBfi,Kgatleng District,Botswana,Kgatleng District
Uz8LWtC0vYF,Kweneng East District,Botswana,Kweneng District
nszh0FzynAQ,North East District,Botswana,North East District
VB7am4futjm,Gaborone District,Botswana,South East District
LEUjALXInGD,Southern District,Botswana,Southern
m4hsNX3VTKP,Abobo-Est,Cote d'Ivoire,Abidjan 1
uum3VZlFaKv,Cocody-Bingerville,Cote d'Ivoire,Abidjan 2
Afx3d2MkpEG,Daloa,Cote d'Ivoire,Haut-Sassandra
GeLP2HBm78g,Man,Cote d'Ivoire,Tonkpi
ciLrwlyi1dv,Lobamba,Eswatini,Hhohho
b5weT1q4MfP,Madlangampisi,Eswatini,Hhohho
vD9ROI7sqBM,Mbabane East,Eswatini,Hhohho
S7lV81CEWVs,Mbabane West,Eswatini,Hhohho
aD6LNvdiMuV,Mhlangatane,Eswatini,Hhohho
rXyxyoAgbIR,Motshane,Eswatini,Hhohho
S3gYw3DaEYU,Nkhaba,Eswatini,Hhohho
fYsR7D2x5lM,Ntfonjeni,Eswatini,Hhohho
aCPtdZU2C7R,Piggs Peak,Eswatini,Hhohho
X5HXEKsZ2fr,Siphocosini Inhkuhndla,Eswatini,Hhohho
lXwHa7SD4QL,Dvokodvweni,Eswatini,Lubombo
Xq9oPjnGb6q,Gilgali Inkhundla,Eswatini,Lubombo
zsWF9xspgml,Lomahasha,Eswatini,Lubombo
uNOgcI63aoU,Lugongolweni,Eswatini,Lubombo
UuDvnvLz0H9,Mhlume,Eswatini,Lubombo
OBnYjEViQox,Mpolonjeni,Eswatini,Lubombo
LIh273fHrkD,Siphofaneni,Eswatini,Lubombo
GPQ5dOXSJfN,Sithobela,Eswatini,Lubombo
xeiMMTy3SY4,Ekukhanyeni,Eswatini,Manzini
DJ30KUNp7Jx,Kwaluseni,Eswatini,Manzini
f3zKfAOJsML,Lobamba Lomdzala,Eswatini,Manzini
JDURHImj6NG,Ludzeludze,Eswatini,Manzini
ACzdZfcPxje,Mafutseni,Eswatini,Manzini
uGmlcjolWJQ,Manzini North,Eswatini,Manzini
i5qTJgJrmMa,Manzini South,Eswatini,Manzini
OWTpaz9X1RX,Mkhiweni,Eswatini,Manzini
xWSoWDJ2evF,Ngwempisi,Eswatini,Manzini
T5EaD8qyziS,Nkomiyahlaba Inkhundla,Eswatini,Manzini
qzT9WPEdci3,Phondo Inkhundla,Eswatini,Manzini
GprWfFROQSq,Hosea,Eswatini,Shiselweni
lbHYdf0K35V,Kumethula Inkhundla,Eswatini,Shiselweni
WCiZxCsRf8I,Maseyisini,Eswatini,Shiselweni
xWi9gh8oZKO,Mtsambama,Eswatini,Shiselweni
GTMGd9gNu7k,Ngudzeni,Eswatini,Shiselweni
sPyITBca9iC,Sandleni,Eswatini,Shiselweni
EGlefU013zq,Shiselweni 2,Eswatini,Shiselweni
lDgHhlAPrbI,Artibonite,Haiti,Dessalines
A4RKAXHmMJz,Artibonite,Haiti,Saint Marc
JVXPyu8T2fO,Nord,Haiti,Cap Haitien
C4PnwquCK8U,Ouest,Haiti,Port au Prince
gbepWpyaGdj,Homa Bay County,Kenya,Homa Bay County
A0BC4zSGPwM,Kiambu County,Kenya,Kiambu County
RP2cXnuZq8a,Kisumu County,Kenya,Kisumu County
H9vJQr39c4B,Migori County,Kenya,Migori County
S0nWEBcp4qo,Mombasa County,Kenya,Mombasa County
DW4iKNGrY42,Nairobi County,Kenya,Nairobi County
mMORYzJBnzi,Siaya County,Kenya,Siaya County
wpg5evyl1OL,Berea,Lesotho,Berea
DiFv5WXIHM5,Mafeteng,Lesotho,Mafeteng
tKOXiaNhAyJ,Maseru,Lesotho,Maseru
YGI7vISD2kJ,Mohale's Hoek,Lesotho,Mohale's Hoek
mxqa3CDFmIT,Blantyre District,Malawi,Blantyre
oiPR2CiVJbf,Chiradzulu District,Malawi,Chiradzulo
TYnMSwzko3z,Machinga District,Malawi,Machinga
AZyWpGzhcaA,Phalombe District,Malawi,Phalombe
fyEoGEPERdI,Zomba District,Malawi,Zomba
ekAcXW11CZ1,Pemba,Mozambique,Cabo Delgado
L7h5gCdfKAF,Chokwe,Mozambique,Gaza
jDWCkBXYllV,Chonguene,Mozambique,Gaza
Me6VFCZmgew,Guija,Mozambique,Gaza
SIgUX4PJgJD,Limpopo,Mozambique,Gaza
kKXWgaF11TT,Xai-Xai,Mozambique,Gaza
KtlpdTLliJg,Maxixe,Mozambique,Inhambane
RTCsjF28gNA,Chimoio,Mozambique,Manica
