country,year,age,iso2,female_pop,iso3
Botswana,2024,10,BW,23447,BWA
Botswana,2024,11,BW,23263,BWA
Botswana,2024,12,BW,23046,BWA
Botswana,2024,13,BW,22862,BWA
Botswana,2024,14,BW,22730,BWA
Botswana,2024,15,BW,22610,BWA
Botswana,2024,16,BW,22494,BWA
Botswana,2024,17,BW,22379,BWA
Botswana,2024,18,BW,22250,BWA
Botswana,2024,19,BW,22111,BWA
Botswana,2024,20,BW,21977,BWA
Botswana,2024,21,BW,21829,BWA
Botswana,2024,22,BW,21677,BWA
Botswana,2024,23,BW,21553,BWA
Botswana,2024,24,BW,21447,BWA
Botswana,2024,25,BW,21338,BWA
Botswana,2024,26,BW,21246,BWA
Botswana,2024,27,BW,21134,BWA
Botswana,2024,28,BW,20996,BWA
Botswana,2024,29,BW,20839,BWA
Côte d’Ivoire,2024,10,CI,393972,CIV
Côte d’Ivoire,2024,11,CI,386699,CIV
Côte d’Ivoire,2024,12,CI,380095,CIV
Côte d’Ivoire,2024,13,CI,371259,CIV
Côte d’Ivoire,2024,14,CI,363778,CIV
Côte d’Ivoire,2024,15,CI,355859,CIV
Côte d’Ivoire,2024,16,CI,347790,CIV
Côte d’Ivoire,2024,17,CI,338644,CIV
Côte d’Ivoire,2024,18,CI,328892,CIV
Côte d’Ivoire,2024,19,CI,318639,CIV
Côte d’Ivoire,2024,20,CI,308598,CIV
Côte d’Ivoire,2024,21,CI,299364,CIV
Côte d’Ivoire,2024,22,CI,288578,CIV
Côte d’Ivoire,2024,23,CI,280015,CIV
Côte d’Ivoire,2024,24,CI,270910,CIV
Côte d’Ivoire,2024,25,CI,262434,CIV
Côte d’Ivoire,2024,26,CI,251617,CIV
Côte d’Ivoire,2024,27,CI,242177,CIV
Côte d’Ivoire,2024,28,CI,234980,CIV
Côte d’Ivoire,2024,29,CI,225776,CIV
Eswatini,2024,10,SZ,12189,SWZ
Eswatini,2024,11,SZ,12259,SWZ
Eswatini,2024,12,SZ,12314,SWZ
Eswatini,2024,13,SZ,12180,SWZ
Eswatini,2024,14,SZ,12053,SWZ
Eswatini,2024,15,SZ,11984,SWZ
Eswatini,2024,16,SZ,11872,SWZ
Eswatini,2024,17,SZ,11716,SWZ
Eswatini,2024,18,SZ,11679,SWZ
Eswatini,2024,19,SZ,11515,SWZ
Eswatini,2024,20,SZ,11206,SWZ
Eswatini,2024,21,SZ,10918,SWZ
Eswatini,2024,22,SZ,10658,SWZ
Eswatini,2024,23,SZ,10422,SWZ
Eswatini,2024,24,SZ,10221,SWZ
Eswatini,2024,25,SZ,10055,SWZ
Eswatini,2024,26,SZ,9932,SWZ
Eswatini,2024,27,SZ,9738,SWZ
Eswatini,2024,28,SZ,10752,SWZ
Eswatini,2024,29,SZ,11398,SWZ
Haiti,2024,10,HT,119298,HTI
Haiti,2024,11,HT,119451,HTI
Haiti,2024,12,HT,119458,HTI
Haiti,2024,13,HT,119343,HTI
Haiti,2024,14,HT,119354,HTI
Haiti,2024,15,HT,117573,HTI
Haiti,2024,16,HT,118044,HTI
Haiti,2024,17,HT,117402,HTI
