level,area,mean,country,indicator,age,sex
0,Botswana,0.0114591926141025,BWA,prevalence,Y010_014,female
1,Central,0.0149076314949579,BWA,prevalence,Y010_014,female
2,Boteti-rakops,0.0201464013216005,BWA,prevalence,Y010_014,female
3,Boteti,0.0201464013216005,BWA,prevalence,Y010_014,female
2,Greater Selibe Phikwe,0.0125652661072008,BWA,prevalence,Y010_014,female
3,Bobirwa,0.0132610998971337,BWA,prevalence,Y010_014,female
3,Selibe-phikwe,0.0112924923282764,BWA,prevalence,Y010_014,female
2,Mahalapye_sefhare,0.0145520169976955,BWA,prevalence,Y010_014,female
3,Mahalapye,0.0145520169976955,BWA,prevalence,Y010_014,female
2,Serowe-palapye,0.0130079611877137,BWA,prevalence,Y010_014,female
3,Palapye,0.0119909915742605,BWA,prevalence,Y010_014,female
3,Serowe,0.0141747118495365,BWA,prevalence,Y010_014,female
2,Tutume-gweta,0.0173341297736732,BWA,prevalence,Y010_014,female
3,Tutume,0.0173341297736732,BWA,prevalence,Y010_014,female
1,Chobe,0.0153934091065495,BWA,prevalence,Y010_014,female
2,Chobe Region,0.0153934091065495,BWA,prevalence,Y010_014,female
3,Chobe,0.0153934091065495,BWA,prevalence,Y010_014,female
1,Ghanzi,0.00823564021232118,BWA,prevalence,Y010_014,female
2,Gantsi Region,0.00823564021232118,BWA,prevalence,Y010_014,female
3,Charleshill,0.00682027955342096,BWA,prevalence,Y010_014,female
3,Gantsi,0.00904745939043366,BWA,prevalence,Y010_014,female
1,Kgalagadi,0.00866535984590052,BWA,prevalence,Y010_014,female
2,Kgalagadi North,0.00938995243799181,BWA,prevalence,Y010_014,female
3,Kgalagadi North,0.00938995243799181,BWA,prevalence,Y010_014,female
2,Kgalagadi South,0.00814710063076158,BWA,prevalence,Y010_014,female
3,Kgalagadi South,0.00814710063076158,BWA,prevalence,Y010_014,female
1,Kgatleng,0.0104489522566299,BWA,prevalence,Y010_014,female
2,Kgatleng Region,0.0104489522566299,BWA,prevalence,Y010_014,female
3,Kgatleng,0.0104489522566299,BWA,prevalence,Y010_014,female
1,Kweneng,0.010209738564065,BWA,prevalence,Y010_014,female
2,Kweneng Region,0.010209738564065,BWA,prevalence,Y010_014,female
3,Kweneng East,0.0102380859268097,BWA,prevalence,Y010_014,female
3,Kweneng West,0.0100644971763844,BWA,prevalence,Y010_014,female
1,North East,0.0155660543867681,BWA,prevalence,Y010_014,female
2,Greater Francistown,0.0155312713566282,BWA,prevalence,Y010_014,female
3,Francistown,0.0155312713566282,BWA,prevalence,Y010_014,female
2,North East,0.0157121944229473,BWA,prevalence,Y010_014,female
3,North East,0.0157121944229473,BWA,prevalence,Y010_014,female
1,North West,0.0116002107812,BWA,prevalence,Y010_014,female
2,Ngami Region,0.0124761683237044,BWA,prevalence,Y010_014,female
3,Ngamiland,0.0124761683237044,BWA,prevalence,Y010_014,female
2,Okavango Region,0.0102615696588746,BWA,prevalence,Y010_014,female
3,Okavango,0.0102615696588746,BWA,prevalence,Y010_014,female
1,South East,0.0073278007360536,BWA,prevalence,Y010_014,female
2,Greater Gaborone,0.00698152964211129,BWA,prevalence,Y010_014,female
3,Gaborone,0.0069020575287406,BWA,prevalence,Y010_014,female
3,South East,0.00750477430324748,BWA,prevalence,Y010_014,female
2,Greater Lobatse,0.00884176327713776,BWA,prevalence,Y010_014,female
3,Lobatse,0.00801732439670745,BWA,prevalence,Y010_014,female
